City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
208,Buraydah,SA,73.4,scattered clouds,26.326,43.975,فندق راحة السلام
209,Okato,NZ,68.0,scattered clouds,-39.2,173.8833,Goodin Country Garden
212,Moyale,KE,67.06,light rain,3.5167,39.0584,La Tahzan Guest House
216,Santa Maria,BR,77.0,few clouds,-29.6842,-53.8069,Hotel Morotin
217,Brownfield,US,73.0,clear sky,33.1812,-102.2744,Holiday Inn Express & Suites Brownfield
220,Veraval,IN,77.74,clear sky,20.9,70.3667,Lords Inn Somnath
221,Loandjili,CG,78.8,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
222,Price,US,64.4,clear sky,39.5994,-110.8107,National 9 - Price River Inn
225,Ballina,AU,73.4,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
226,Vao,NC,77.0,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
231,Wajir,KE,78.67,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
232,Inirida,CO,71.76,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
234,Sibolga,ID,75.96,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
235,Sur,OM,79.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
236,Oriximina,BR,76.03,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
239,East London,ZA,69.69,broken clouds,-33.0153,27.9116,Tu Casa
242,Glendive,US,68.0,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
243,Flinders,AU,61.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
244,Broome,US,68.0,clear sky,42.2506,-75.833,Chenango Valley State Park
245,Maneadero,MX,66.0,scattered clouds,31.7167,-116.5667,Casa De Thompson
247,Caravelas,BR,74.17,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
250,Sinnamary,GF,77.65,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
253,Labuhan,ID,79.36,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
256,Altamira,BR,74.84,overcast clouds,-3.2033,-52.2064,Requinte Hotel
257,Mindelo,CV,69.8,few clouds,16.8901,-24.9804,Hotel Gaudi
262,San Ramon,US,75.2,clear sky,37.7799,-121.978,San Ramon Marriott
264,Tuatapere,NZ,60.01,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
268,Piacabucu,BR,77.5,broken clouds,-10.4056,-36.4344,Piaçabuçu News
271,Haimen,CN,64.4,clear sky,23.1935,116.6142,Jinghao Business Hotel
274,Sinazongwe,ZM,69.6,scattered clouds,-17.2614,27.4618,Lakeview Lodge
275,Betare Oya,CM,71.83,light rain,5.6,14.0833,Auberge Tembina Betaré Oya
276,Jacareacanga,BR,76.55,broken clouds,-6.2222,-57.7528,Casa do Ian😎
279,Payo,ID,74.48,broken clouds,-3.7508,103.6372,Mess keban agung
280,Peniche,PT,60.01,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
282,Bambous Virieux,MU,79.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
286,Pitimbu,BR,75.2,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
287,Bitung,ID,75.2,few clouds,1.4451,125.1824,K2 Lembeh
289,Rupert,US,64.4,clear sky,42.6191,-113.6772,Uptown Motel
291,Monrovia,LR,78.8,scattered clouds,6.3005,-10.7969,Sunset Inn
292,Totness,SR,78.01,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
293,Nioro,GM,77.81,clear sky,13.35,-15.75,
295,Los Llanos De Aridane,ES,64.4,few clouds,28.6585,-17.9182,Valle Aridane
296,Loanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
297,Kaeo,NZ,75.0,few clouds,-35.1,173.7833,Bushido Lodge
298,Marzuq,YE,66.42,clear sky,14.4,46.4667,
300,Santa Isabel Do Rio Negro,BR,76.95,overcast clouds,-0.4139,-65.0192,Hotel GSA
304,Kingaroy,AU,71.6,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
307,Quatre Cocos,MU,79.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
309,Santa Cruz,BO,77.0,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
310,Morros,BR,75.97,overcast clouds,-9.4467,-46.3003,
312,Taltal,CL,65.5,broken clouds,-25.4,-70.4833,Residencial Karime
313,Bengkulu,ID,75.7,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
315,Kieta,PG,77.92,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
317,Cartagena,CO,79.61,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
321,Waterloo,CA,62.01,broken clouds,43.4668,-80.5164,Comfort Inn
322,Hennenman,ZA,63.86,clear sky,-27.9765,27.0242,Die ou Wingerdstok Hennenman
324,Saldanha,ZA,60.8,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
326,Valparaiso,CL,60.8,clear sky,-33.0393,-71.6273,Hotel Ultramar
327,Maceio,BR,71.6,broken clouds,-9.6658,-35.7353,Poutur Pousada
328,Plettenberg Bay,ZA,62.4,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
332,Masumbwe,TZ,61.84,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
334,Mar Del Plata,AR,66.99,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
335,Yulara,AU,64.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
337,Opunake,NZ,68.0,scattered clouds,-39.4556,173.8583,Walton Cottage
343,Port Elizabeth,ZA,62.6,broken clouds,-33.918,25.5701,39 On Nile Guest House
345,Asfi,MA,60.55,clear sky,32.2994,-9.2372,Hôtel Abda
