City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Taft,IR,31.7471,54.2088,75.2,20,40,11.5,scattered clouds
122,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,100,75,10.36,mist
123,Carnarvon,AU,-24.8667,113.6333,78.8,83,100,19.57,overcast clouds
124,Dikson,RU,73.5069,80.5464,21.47,90,93,23.87,overcast clouds
125,Kamenka,RU,51.3223,42.7678,39.0,92,92,12.35,overcast clouds
126,Santa Ana,US,33.7456,-117.8678,77.0,49,75,11.5,broken clouds
127,Laurel,US,39.0993,-76.8483,66.0,82,1,6.89,clear sky
128,Inyonga,TZ,-6.7167,32.0667,62.04,97,100,3.83,overcast clouds
129,Kapaa,US,22.0752,-159.319,75.2,57,75,12.66,broken clouds
130,Qaanaaq,GL,77.484,-69.3632,15.28,90,100,1.95,light snow
131,Port-Gentil,GA,-0.7193,8.7815,82.09,79,91,5.91,overcast clouds
132,Yakeshi,CN,49.2833,120.7333,39.51,29,24,5.59,few clouds
133,Puttur,IN,12.7667,75.2167,77.0,83,20,2.37,few clouds
134,Te Anau,NZ,-45.4167,167.7167,56.61,92,100,3.98,moderate rain
135,Tiznit,MA,29.5833,-9.5,54.72,84,25,4.92,scattered clouds
136,Bilibino,RU,68.0546,166.4372,3.38,63,98,4.32,overcast clouds
137,Urusha,RU,54.05,122.9,19.81,48,24,4.81,few clouds
138,Kruisfontein,ZA,-34.0033,24.7314,57.0,96,77,1.01,broken clouds
139,Gorontalo,ID,0.5412,123.0595,82.33,76,88,1.77,overcast clouds
140,General Roca,AR,-39.0333,-67.5833,60.8,67,0,4.25,clear sky
141,Amga,RU,60.8953,131.9608,15.33,93,100,9.8,snow
142,Taoudenni,ML,22.6783,-3.9836,84.27,15,1,10.4,clear sky
143,Constitucion,CL,-35.3333,-72.4167,53.04,83,0,11.3,clear sky
144,Fukue,JP,32.6881,128.8419,59.0,72,75,5.75,broken clouds
145,Fomboni,KM,-12.28,43.7425,83.44,72,100,7.43,overcast clouds
146,Disna,BY,55.568,28.1971,42.12,87,100,4.09,overcast clouds
147,Axim,GH,4.8699,-2.2405,80.44,86,89,5.68,overcast clouds
148,Limbang,MY,4.75,115.0,80.6,94,75,4.61,broken clouds
149,Pangkalanbuun,ID,-2.6833,111.6167,77.56,93,82,0.6,broken clouds
150,Nelson Bay,AU,-32.7167,152.15,64.99,48,75,14.97,broken clouds
151,Yatou,CN,37.15,122.3833,53.29,64,77,10.33,light rain
152,Mahbubabad,IN,17.6167,80.0167,76.35,86,23,4.27,few clouds
153,Fortuna,US,40.5982,-124.1573,55.0,58,1,25.32,clear sky
154,Castro,BR,-24.7911,-50.0119,60.71,67,0,2.77,clear sky
155,Baruun-Urt,MN,46.6806,113.2792,37.83,46,98,11.88,overcast clouds
156,Natal,BR,-5.795,-35.2094,77.0,94,75,5.75,broken clouds
157,Simbahan,PH,6.3032,120.5836,82.65,73,86,6.04,overcast clouds
158,Ancud,CL,-41.8697,-73.8203,53.01,100,90,13.8,light rain
159,Walvis Bay,NA,-22.9575,14.5053,80.53,32,0,5.41,clear sky
160,Nemuro,JP,43.3236,145.575,48.2,31,0,3.44,clear sky
161,Tessalit,ML,20.1986,1.0114,84.11,12,0,5.14,clear sky
162,Tromso,NO,69.6496,18.957,33.8,93,90,23.02,light rain and snow
163,Lagoa,PT,39.05,-27.9833,59.97,93,100,20.94,overcast clouds
164,Salalah,OM,17.0151,54.0924,80.6,74,40,1.14,scattered clouds
165,Mogadishu,SO,2.0371,45.3438,81.99,74,53,11.3,broken clouds
166,Srednekolymsk,RU,67.45,153.6833,-4.83,89,100,8.66,overcast clouds
167,Cidreira,BR,-30.1811,-50.2056,75.11,80,100,10.92,overcast clouds
168,Cavalcante,BR,-13.7975,-47.4583,69.76,69,11,2.86,few clouds
169,Ostrovnoy,RU,68.0531,39.5131,30.51,87,34,23.02,scattered clouds
170,Jibuti,DJ,11.5,42.5,80.6,78,20,3.44,few clouds
171,Manavalakurichi,IN,8.1333,77.3,80.6,78,20,3.15,mist
172,Cabo San Lucas,MX,22.8909,-109.9124,80.6,54,20,9.22,few clouds
173,Shelburne,CA,44.0787,-80.2041,68.0,49,20,11.5,few clouds
174,Mackay,AU,-21.15,149.2,84.99,78,6,11.5,clear sky
175,Kashi,CN,39.4547,75.9797,51.8,37,0,6.71,clear sky
176,Belmonte,BR,-15.8631,-38.8828,77.0,83,40,3.44,scattered clouds
177,Gualeguay,AR,-33.1416,-59.3097,70.05,98,98,5.79,overcast clouds
178,Yerky,UA,48.9906,30.9882,40.32,56,0,2.57,clear sky
179,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.25,67,1,7.56,clear sky
180,Palmer,US,42.1584,-72.3287,68.0,56,75,8.05,broken clouds
181,Makakilo City,US,21.3469,-158.0858,78.8,53,75,11.5,broken clouds
182,Mastung,PK,29.7994,66.845,60.75,20,0,6.02,clear sky
183,Dalbandin,PK,28.8947,64.4101,71.1,16,16,7.25,few clouds
184,Tigzirt,DZ,36.8886,4.1198,60.98,74,100,4.36,overcast clouds
185,Auki,SB,-8.7676,160.7034,85.59,64,99,2.57,overcast clouds
186,Narsaq,GL,60.9167,-46.05,37.4,75,23,2.3,few clouds
187,Erenhot,CN,43.6475,111.9767,51.75,56,13,13.91,few clouds
188,Port Blair,IN,11.6667,92.75,81.3,77,78,3.67,broken clouds
189,Gazojak,TM,41.1875,61.4036,61.38,41,0,15.9,clear sky
190,Saint-Georges,GD,12.0564,-61.7485,80.6,74,20,9.22,few clouds
191,Wahiawa,US,21.5028,-158.0236,78.8,53,75,11.5,broken clouds
192,Gat,IL,31.61,34.7642,55.99,56,49,12.88,scattered clouds
193,Vanimo,PG,-2.6741,141.3028,80.58,83,100,10.18,overcast clouds
194,Bethel,US,41.3712,-73.414,66.2,59,1,8.05,clear sky
195,Vardo,NO,70.3705,31.1107,19.4,68,0,28.77,clear sky
196,Matay,EG,28.419,30.7792,51.87,50,0,9.62,clear sky
197,Mongo,TD,12.1844,18.693,83.71,6,32,6.91,scattered clouds
198,Hasaki,JP,35.7333,140.8333,54.0,66,20,8.05,few clouds
199,Merced,US,37.1666,-120.7516,78.01,31,20,10.36,few clouds
200,Mandali,IQ,33.7499,45.5541,72.54,42,39,18.81,scattered clouds
201,Bukama,CD,-9.2,25.85,66.72,98,100,2.73,overcast clouds
202,Traverse City,US,44.7631,-85.6206,52.0,87,90,5.75,overcast clouds
203,Lebu,CL,-37.6167,-73.65,52.52,87,0,8.28,clear sky
204,Mount Isa,AU,-20.7333,139.5,75.2,38,20,18.41,few clouds
205,Geraldton,AU,-28.7667,114.6,73.4,64,90,14.97,overcast clouds
206,North Platte,US,41.1239,-100.7654,66.0,17,1,4.61,clear sky
207,Georgetown,MY,5.4112,100.3354,79.0,100,20,3.44,few clouds
208,Buraydah,SA,26.326,43.975,73.4,35,40,12.66,scattered clouds
209,Okato,NZ,-39.2,173.8833,68.0,85,40,7.0,scattered clouds
210,Korla,CN,41.7597,86.1469,52.43,50,0,6.51,clear sky
211,Port Hedland,AU,-20.3167,118.5667,82.4,83,75,8.05,broken clouds
212,Moyale,KE,3.5167,39.0584,67.06,81,73,4.5,light rain
213,Araouane,ML,18.9048,-3.5265,86.38,10,0,7.78,clear sky
214,Saint George,US,37.1041,-113.5841,82.99,7,1,11.5,clear sky
215,Xuanhua,CN,40.6103,115.0447,55.18,44,100,5.66,moderate rain
216,Santa Maria,BR,-29.6842,-53.8069,77.0,73,20,2.3,few clouds
217,Brownfield,US,33.1812,-102.2744,73.0,14,0,1.99,clear sky
218,Ornskoldsvik,SE,63.2909,18.7153,30.2,69,9,6.91,clear sky
219,Hithadhoo,MV,-0.6,73.0833,83.46,68,50,12.35,scattered clouds
220,Veraval,IN,20.9,70.3667,77.74,64,0,13.98,clear sky
221,Loandjili,CG,-4.7561,11.8578,78.8,89,40,4.25,scattered clouds
222,Price,US,39.5994,-110.8107,64.4,12,1,18.41,clear sky
223,George,ZA,-33.963,22.4617,57.2,94,0,3.44,clear sky
224,Valencia,ES,39.3333,-0.8333,57.2,94,75,2.3,broken clouds
225,Ballina,AU,-28.8667,153.5667,73.4,49,38,13.8,scattered clouds
226,Vao,NC,-22.6667,167.4833,77.0,86,100,21.79,overcast clouds
227,Vaini,TO,-21.2,-175.2,80.6,74,20,9.22,few clouds
228,Sitka,US,57.0531,-135.33,33.8,75,90,13.8,light snow
229,Longyearbyen,SJ,78.2186,15.6401,21.2,68,75,23.02,broken clouds
230,Egvekinot,RU,66.3167,-179.1667,0.72,75,100,14.36,overcast clouds
231,Wajir,KE,1.7471,40.0573,78.67,70,99,12.24,overcast clouds
232,Inirida,CO,3.8653,-67.9239,71.76,99,100,0.83,overcast clouds
233,Koslan,RU,63.4564,48.8989,34.38,85,97,11.32,overcast clouds
234,Sibolga,ID,1.7427,98.7792,75.96,88,62,1.88,broken clouds
235,Sur,OM,22.5667,59.5289,79.48,61,1,9.46,clear sky
236,Oriximina,BR,-1.7656,-55.8661,76.03,90,96,4.05,overcast clouds
237,Mulege,MX,26.8833,-111.9833,82.29,39,61,6.71,broken clouds
238,Codrington,AU,-38.2667,141.9667,53.42,66,100,21.61,overcast clouds
239,East London,ZA,-33.0153,27.9116,69.69,91,80,4.43,broken clouds
240,Corpus Christi,US,27.8006,-97.3964,84.99,51,1,16.11,clear sky
241,Ventspils,LV,57.3894,21.5606,30.2,100,0,3.44,clear sky
242,Glendive,US,47.1053,-104.7125,68.0,15,1,12.66,clear sky
