City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Bredasdorp,ZA,2021-04-10 23:24:32,-34.5322,20.0403,53.6,100,100,1.77
109,Thompson,CA,2021-04-10 23:25:53,55.7435,-97.8558,39.2,56,40,5.75
110,Fortuna,US,2021-04-10 23:24:23,40.5982,-124.1573,57.0,54,1,21.85
111,Cherskiy,RU,2021-04-10 23:26:13,68.75,161.3,-8.55,81,73,2.35
112,Chimbote,PE,2021-04-10 23:26:50,-9.0853,-78.5783,69.66,86,86,7.7
113,Mahebourg,MU,2021-04-10 23:24:21,-20.4081,57.7,78.8,78,75,11.5
114,Oistins,BB,2021-04-10 23:26:44,13.0667,-59.5333,78.8,65,20,8.05
115,Khatanga,RU,2021-04-10 23:25:28,71.9667,102.5,15.3,86,100,13.4
116,Narsaq,GL,2021-04-10 23:24:26,60.9167,-46.05,37.4,75,27,2.3
117,Saint-Philippe,RE,2021-04-10 23:24:38,-21.3585,55.7679,78.8,78,0,4.61
118,East London,ZA,2021-04-10 23:25:38,-33.0153,27.9116,70.14,91,77,3.18
119,Opuwo,NA,2021-04-10 23:26:51,-18.0607,13.84,69.48,33,10,10.29
120,Vastseliina,EE,2021-04-10 23:26:51,57.7303,27.2932,26.6,100,0,4.79
121,New Norfolk,AU,2021-04-10 23:24:58,-42.7826,147.0587,46.0,89,99,1.01
122,Kudahuvadhoo,MV,2021-04-10 23:26:51,2.6708,72.8944,82.51,74,22,10.85
123,Tuktoyaktuk,CA,2021-04-10 23:25:19,69.4541,-133.0374,-11.2,70,1,11.5
124,Katsuura,JP,2021-04-10 23:24:24,35.1333,140.3,57.99,58,20,9.22
125,Georgetown,MY,2021-04-10 23:25:15,5.4112,100.3354,79.0,100,20,3.44
126,Norman Wells,CA,2021-04-10 23:24:23,65.282,-126.8329,-5.8,71,90,10.36
127,Saint-Francois,FR,2021-04-10 23:26:52,46.4154,3.9054,52.0,71,0,9.22
128,High Level,CA,2021-04-10 23:26:52,58.5169,-117.136,23.0,46,75,17.27
129,Arlit,NE,2021-04-10 23:26:53,18.7369,7.3853,84.04,7,0,11.39
130,Sao Joao Da Barra,BR,2021-04-10 23:26:53,-21.6403,-41.0511,74.61,66,1,8.75
131,Faanui,PF,2021-04-10 23:25:22,-16.4833,-151.75,82.27,70,59,9.6
132,Kahului,US,2021-04-10 23:26:04,20.8947,-156.47,78.8,53,40,11.5
133,Sao Filipe,CV,2021-04-10 23:26:53,14.8961,-24.4956,75.24,65,21,12.73
134,Kosh-Agach,RU,2021-04-10 23:26:53,50.0,88.6667,16.0,73,33,4.76
135,Port Lincoln,AU,2021-04-10 23:24:54,-34.7333,135.8667,59.34,61,93,14.92
136,Emba,KZ,2021-04-10 23:26:23,48.8264,58.1442,41.86,78,17,11.83
137,Kochevo,RU,2021-04-10 23:26:54,59.5994,54.3125,33.76,99,100,1.43
138,Margate,GB,2021-04-10 23:25:51,51.3813,1.3862,41.0,73,100,3.0
139,Blyth,GB,2021-04-10 23:26:54,55.1271,-1.5086,36.0,93,41,5.75
140,San Cristobal,VE,2021-04-10 23:25:32,7.7669,-72.225,82.4,74,40,6.91
141,Hovd,MN,2021-04-10 23:26:25,48.0056,91.6419,28.02,55,100,3.56
142,Marsa Matruh,EG,2021-04-10 23:26:38,31.3525,27.2453,57.2,51,0,9.22
143,Carutapera,BR,2021-04-10 23:26:55,-1.195,-46.02,76.89,88,81,6.42
144,Haines Junction,CA,2021-04-10 23:24:35,60.7522,-137.5108,10.4,24,97,5.75
145,Alghero,IT,2021-04-10 23:26:56,40.5589,8.3181,57.2,82,40,3.44
146,Richards Bay,ZA,2021-04-10 23:26:56,-28.783,32.0377,69.22,87,0,9.62
147,Taganak,PH,2021-04-10 23:23:13,6.0833,118.3,75.2,94,20,3.44
148,Lorengau,PG,2021-04-10 23:26:22,-2.0226,147.2712,81.66,83,100,15.5
149,Nanganga,TZ,2021-04-10 23:23:04,-10.3833,39.15,71.1,97,100,3.2
150,Bilibino,RU,2021-04-10 23:26:56,68.0546,166.4372,1.74,65,98,3.74
151,Gdov,RU,2021-04-10 23:26:57,58.7406,27.8122,30.65,81,3,8.39
152,Valparaiso,CL,2021-04-10 23:26:57,-33.0393,-71.6273,60.8,63,0,16.11
153,Chokurdakh,RU,2021-04-10 23:25:33,70.6333,147.9167,-16.74,99,100,1.28
154,Smithers,CA,2021-04-10 23:25:32,54.7804,-127.1743,41.0,36,40,11.5
155,Ambunti,PG,2021-04-10 23:26:57,-4.2365,142.8448,74.97,97,100,1.97
156,Hithadhoo,MV,2021-04-10 23:25:47,-0.6,73.0833,83.32,69,56,12.88
157,Turukhansk,RU,2021-04-10 23:26:58,65.8167,87.9833,31.73,98,100,11.32
158,Christchurch,NZ,2021-04-10 23:23:18,-43.5333,172.6333,73.0,49,38,6.91
159,Calbuco,CL,2021-04-10 23:26:58,-41.768,-73.1273,53.6,76,90,8.05
160,Jardim,BR,2021-04-10 23:22:33,-21.4803,-56.1381,80.13,54,48,3.29
161,Pachelma,RU,2021-04-10 23:26:58,53.2443,43.3521,35.17,96,100,9.89
162,Pangnirtung,CA,2021-04-10 23:25:01,66.1451,-65.7125,29.39,85,100,5.66
163,Torbay,CA,2021-04-10 23:25:26,47.6666,-52.7314,33.01,100,90,18.41
164,Taoudenni,ML,2021-04-10 23:26:59,22.6783,-3.9836,85.68,14,0,10.63
165,Bijie,CN,2021-04-10 23:26:59,27.3125,105.2942,48.22,95,100,3.87
166,Mount Gambier,AU,2021-04-10 23:24:27,-37.8333,140.7667,53.6,66,75,21.85
167,Pisco,PE,2021-04-10 23:26:39,-13.7,-76.2167,70.0,73,20,17.27
168,Rocha,UY,2021-04-10 23:27:00,-34.4833,-54.3333,67.3,99,100,9.1
169,Koumra,TD,2021-04-10 23:27:00,8.9126,17.5539,86.27,35,33,2.71
170,Kapuskasing,CA,2021-04-10 23:24:41,49.4169,-82.4331,57.2,71,62,4.61
171,Tarakan,ID,2021-04-10 23:27:00,3.3,117.6333,78.8,94,20,2.3
172,Chara,RU,2021-04-10 23:27:01,56.9064,118.2631,2.98,73,62,2.93
173,Vila Velha,BR,2021-04-10 23:24:24,-20.3297,-40.2925,77.0,78,20,3.44
174,Riyadh,SA,2021-04-10 23:21:58,24.6877,46.7219,91.4,13,20,6.91
175,Dabwali,IN,2021-04-10 23:27:01,29.95,74.7333,74.8,16,0,5.79
176,Colesberg,ZA,2021-04-10 23:27:01,-30.72,25.0972,67.68,35,62,4.5
177,Syracuse,IT,2021-04-10 23:23:00,37.0881,15.2792,54.0,87,0,5.75
178,Jalu,LY,2021-04-10 23:26:09,29.0331,21.5482,58.73,27,64,8.79
179,Los Llanos De Aridane,ES,2021-04-10 23:27:02,28.6585,-17.9182,64.4,72,0,5.75
180,Lompoc,US,2021-04-10 23:23:39,34.6391,-120.4579,60.8,55,39,18.41
181,Saskylakh,RU,2021-04-10 23:24:24,71.9167,114.0833,0.07,80,65,10.67
182,Mazamari,PE,2021-04-10 23:27:02,-11.3258,-74.5308,71.82,97,99,2.17
183,Ramhormoz,IR,2021-04-10 23:27:02,31.28,49.6035,78.78,31,98,8.14
